,Make,Model,Year,Mileage,Transmission,Engine,Exterior Color,Interior Color,MPG,Fuel Type,Drive Type,Location (City),Location (State),Style,Condition (Accidents),Options Level,Bed Length,Price
0,Ford,Focus,2014.0,"35,795",Automatic,2.0L Inline-4 Gas,,Charcoal Black,26 cty / 36 hwy,Gas,FWD,Tacoma,WA,SE Hatchback,2 reported accidents,Standard,,"7,999"
1,Ford,F-150,2015.0,"128,146",Automatic,2.7L V-6 Gas Turbocharged,Unknown,Medium Earth Gray,19 cty / 26 hwy,Gas,RWD,Waxahachie,TX,XL SuperCrew 6.5\' Box RWD,0 reported accidents,,Standard Bed,"15,991"
2,Mercedes-Benz,E-Class,2004.0,"135,000",Automatic,5.0L V-8 Gas,Black,Beige,16 cty / 22 hwy,Gas,AWD,Covina,CA,E 500 4MATIC Wagon,0 reported accidents,Standard,,"5,950"
3,Hyundai,Elantra,2011.0,"135,670",Automatic,1.8L Inline-4 Gas,,Gray,28 cty / 38 hwy,Gas,FWD,Miami,FL,,0 reported accidents,Standard,,"3,999"
4,Toyota,Prius,2012.0,"152,543",Automatic,1.8L Inline-4 Hybrid,White,Biege,51 cty / 48 hwy,Hybrid,FWD,Byhalia,MS,Five,1 reported accidents,Standard,,"6,500"
5,Mercedes-Benz,E-Class,2012.0,"90,148",Automatic,3.5L V-6 Gas,Black,Almond/Mocha,19 cty / 28 hwy,Gas,AWD,Midlothian,VA,E 350 4MATIC Luxury Sedan,0 reported accidents,Standard,,"13,379"
6,Honda,Pilot,2011.0,"108,544",Automatic,3.5L V-6 Gas,Gray,Black,16 cty / 22 hwy,Gas,4WD,Richland,WA,EX-L 4WD,0 reported accidents,Standard,,"9,750"
7,Nissan,Sentra,2019.0,"35,155",Automatic,1.8L Inline-4 Gas,Super Black,Charcoal,29 cty / 37 hwy,Gas,FWD,Columbus,OH,S CVT,1 reported accidents,Well Equipped,,"11,700"
8,Toyota,RAV4,2017.0,"60,532",Automatic,2.5L Inline-4 Hybrid,White,Blk/Lt Gry,34 cty / 30 hwy,Hybrid,AWD,Pelham,AL,Hybrid Limited AWD,0 reported accidents,Standard,,"22,590"
9,Toyota,Camry,2011.0,"154,950",Automatic,2.5L Inline-4 Gas,White,Gray,22 cty / 32 hwy,Gas,FWD,Rancho Cordova,CA,LE I4 Automatic,0 reported accidents,Standard,,"6,999"
10,,,,"38,558",Automatic,3.6L V-6 Gas,,Unknown,19 cty / 26 hwy,Gas,RWD,Odessa,TX,Limited RWD,0 reported accidents,Standard,,"23,987"
11,Toyota,RAV4,2017.0,"45,645",Automatic,2.5L Inline-4 Gas,Super White,Black,22 cty / 28 hwy,Gas,AWD,Fishers,IN,SE AWD,0 reported accidents,Standard,,"21,000"
12,Chevrolet Express,Passenger,2019.0,"39,795",Automatic,6.0L V-8 Gas,Summit White,Medium Pewter,N/A cty / N/A hwy,Gas,RWD,Stillwater,OK,3500 LT LWB,1 reported accidents,Standard,,"21,499"
13,Ford,Fusion,2019.0,"29,538",Automatic,2.0L Inline-4 Hybrid,Magnetic Metallic,Ebony,43 cty / 41 hwy,Hybrid,FWD,Kennesaw,GA,Hybrid Titanium FWD,0 reported accidents,Standard,,"18,995"
14,Chevrolet,Malibu,2019.0,"36,591",Automatic,,,Jet Black,29 cty / 36 hwy,Gas,FWD,Medford,NY,LT with 1LT,0 reported accidents,Minimal Options,,"16,666"
15,Jeep Grand,Cherokee,2015.0,"74,551",Automatic,3.6L V-6 Gas,,Black,17 cty / 24 hwy,Gas,4WD,Acton,MA,Laredo 4WD,0 reported accidents,Standard,,"15,837"
16,Ram 1500,Classic,2019.0,"29,039",Automatic,5.7L V-8 Gas,,Diesel Gray/Black,15 cty / 21 hwy,Gas,,Brunswick,ME,,0 reported accidents,Minimal Options,Standard Bed,"29,933"
17,Dodge Grand,Caravan,2019.0,"39,570",Automatic,3.6L V-6 Gas,,Black,17 cty / 25 hwy,Gas,FWD,Chesapeake,VA,SXT,0 reported accidents,Minimal Options,,"17,000"
18,Honda,Accord,2014.0,"87,795",Automatic,3.5L V-6 Gas,,Black,21 cty / 34 hwy,Gas,FWD,Westmont,IL,,0 reported accidents,Standard,,"12,308"
19,Ford,F-150,2015.0,"90,881",Automatic,2.7L V-6 Gas Turbocharged,,Unknown,18 cty / 23 hwy,Gas,4WD,Springfield,VA,,0 reported accidents,Standard,Short Bed,"25,550"
